23:18:30.673 [main] INFO  main.java.client.Client - Começou!
23:18:30.864 [Thread-47] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=4800.000000000001 Result= 833715.0732402741 Tempo=36
23:18:30.866 [Thread-41] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=4200.0 Result= 833715.0956607262 Tempo=42
23:18:30.866 [Thread-40] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=4100.000000000001 Result= 833715.1003835454 Tempo=81
23:18:30.868 [Thread-45] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=4600.000000000001 Result= 833715.0797475696 Tempo=48
23:18:30.868 [Thread-48] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=4900.0 Result= 833715.0702811142 Tempo=32
23:18:30.835 [Thread-34] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=3500.0 Result= 833715.1377513784 Tempo=65
23:18:30.836 [Thread-12] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=1300.0 Result= 833715.9984927017 Tempo=139
23:18:30.835 [Thread-39] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=4000.0 Result= 833715.1054659345 Tempo=50
23:18:30.874 [Thread-49] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=5000.0 Result= 833715.0674981141 Tempo=33
23:18:30.837 [Thread-15] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=1600.0 Result= 833715.659161308 Tempo=137
23:18:30.837 [Thread-33] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=3400.0000000000005 Result= 833715.1459734379 Tempo=59
23:18:30.900 [Thread-51] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=5200.0 Result= 833715.0624057623 Tempo=22
23:18:30.928 [Thread-50] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=5100.000000000001 Result= 833715.064877372 Tempo=50
23:18:30.930 [Thread-53] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=5400.0 Result= 833715.0578689897 Tempo=49
23:18:30.946 [Thread-57] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=5800.000000000001 Result= 833715.0501620858 Tempo=60
23:18:30.954 [Thread-56] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=5700.0 Result= 833715.0519377161 Tempo=67
23:18:30.930 [Thread-52] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=5300.000000000001 Result= 833715.0600734748 Tempo=51
23:18:30.975 [Thread-54] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=5500.0 Result= 833715.0557830228 Tempo=94
23:18:30.992 [Thread-65] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=6600.000000000001 Result= 833715.0387383759 Tempo=96
23:18:31.001 [Thread-55] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=5600.000000000001 Result= 833715.0538092186 Tempo=117
23:18:31.016 [Thread-66] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=6700.0 Result= 833715.0375911125 Tempo=119
23:18:31.036 [Thread-58] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=5900.0 Result= 833715.048476115 Tempo=149
23:18:31.071 [Thread-59] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=6000.0 Result= 833715.0468738279 Tempo=183
23:18:31.071 [Thread-60] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=6100.000000000001 Result= 833715.0453493844 Tempo=181
23:18:31.086 [Thread-68] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=6900.0 Result= 833715.0354436088 Tempo=187
23:18:31.100 [Thread-63] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=6400.0 Result= 833715.0411972733 Tempo=204
23:18:31.102 [Thread-61] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=6200.0 Result= 833715.0438979579 Tempo=212
23:18:31.134 [Thread-62] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=6300.000000000001 Result= 833715.0425160092 Tempo=239
23:18:31.169 [Thread-72] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=7300.000000000001 Result= 833715.0316652277 Tempo=268
23:18:31.194 [Thread-81] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=8200.000000000002 Result= 833715.0250959089 Tempo=260
23:18:31.194 [Thread-77] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=7800.000000000001 Result= 833715.0277356149 Tempo=265
23:18:31.202 [Thread-64] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=6500.0 Result= 833715.0399395894 Tempo=306
23:18:31.203 [Thread-67] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=6800.000000000001 Result= 833715.0364931588 Tempo=306
23:18:31.235 [Thread-69] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=7000.0 Result= 833715.0344379495 Tempo=336
23:18:31.235 [Thread-73] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=7400.0 Result= 833715.0308150067 Tempo=333
23:18:31.244 [Thread-80] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=8100.0 Result= 833715.0257199147 Tempo=310
23:18:31.249 [Thread-78] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=7900.0 Result= 833715.027038129 Tempo=320
